family,contrast,metric,a,b,a_pct,b_pct,diff_pp,ci_lo_pp,ci_hi_pp,z,p_z,p_fisher,p_holm,note
height,h095 vs h078 (native),SR,h095,h078,18.5,12.5,6.0,-1.068788836157071,13.068788836157069,1.6578950956317682,0.09733864225087463,0.12809872168798228,0.6404936084399114,
height,h095 vs h078 (native),OS,h095,h078,31.0,28.0,2.9999999999999973,-5.933437580233071,11.933437580233065,0.6578330489043523,0.5106454154737596,0.583660624504221,1.0,
height,h110 vs h078 (native),SR,h110,h078,13.0,12.5,0.5000000000000004,-6.03692799078407,7.036927990784071,0.14991054882878962,0.8808351890092236,1.0,1.0,
height,h110 vs h078 (native),OS,h110,h078,22.0,28.0,-6.000000000000003,-14.466499961268081,2.466499961268076,-1.3856406460551025,0.1658566603429097,0.20389297909058457,1.0,
height,h130 vs h078 (native),SR,h130,h078,15.0,12.5,2.4999999999999996,-4.245167003684642,9.245167003684642,0.7259540086406275,0.4678669654464569,0.561708097837075,1.0,
height,h130 vs h078 (native),OS,h130,h078,24.5,28.0,-3.500000000000003,-12.11687862166409,5.116878621664084,-0.7954673856179912,0.42634167538325296,0.4954552239994549,1.0,
height,h150 vs h078 (native),SR,h150,h078,14.5,12.5,1.9999999999999991,-4.694790571067083,8.694790571067081,0.5852683750748625,0.5583672758871563,0.661006563799661,1.0,
height,h150 vs h078 (native),OS,h150,h078,25.5,28.0,-2.500000000000002,-11.172425375041582,6.172425375041578,-0.5647734872451042,0.5722278425525165,0.6515160810156464,1.0,
driver,stretchA vs full_14498[pinned300],SR,stretchA,full_14498[pinned300],15.0,17.666666666666668,-2.666666666666667,-8.578653153306485,3.2453198199731506,-0.8834881234801255,0.37697259658244375,0.43960714066745726,1.0,"SPANS the 580.159.03 -> 580.173.02 driver change. Upper bound, not a noise floor."
driver,stretchA vs full_14498[pinned300],OS,stretchA,full_14498[pinned300],29.0,31.666666666666668,-2.666666666666667,-10.020136090694447,4.686802757361113,-0.7104635103193139,0.4774167511976952,0.5342300420550635,1.0,"SPANS the 580.159.03 -> 580.173.02 driver change. Upper bound, not a noise floor."
driver,stretchB vs full_14498[pinned300],SR,stretchB,full_14498[pinned300],16.0,17.666666666666668,-1.6666666666666663,-7.652910877102076,4.319577543768744,-0.5455501378205756,0.5853752072134497,0.6626683044575106,1.0,SPANS the driver change.
driver,stretchB vs full_14498[pinned300],OS,stretchB,full_14498[pinned300],31.666666666666668,31.666666666666668,0.0,-7.444232693490191,7.444232693490191,0.0,1.0,1.0,1.0,SPANS the driver change.
driver,h078 (native) vs full_14498[pinned200],SR,h078,full_14498[pinned200],12.5,15.0,-2.4999999999999996,-9.245167003684642,4.245167003684642,-0.7259540086406275,0.4678669654464569,0.561708097837075,1.0,"h078 reproduces the native camera height, so this is a second reproducibility probe across the same driver change, on the 200-episode set."
driver,h078 (native) vs full_14498[pinned200],OS,h078,full_14498[pinned200],28.0,29.0,-0.9999999999999953,-9.847017772766296,7.847017772766305,-0.22152592011829933,0.8246829565568832,0.911839502264812,1.0,"h078 reproduces the native camera height, so this is a second reproducibility probe across the same driver change, on the 200-episode set."
